1,1,26.0717,0.0659,0.25%
1,2,15.6901,0.0185,0.12%
1,4,9.9479,0.0473,0.48%
1,8,6.8948,0.0172,0.25%
1,16,7.3616,0.0595,0.81%
2,1,15.6299,0.0130,0.08%
2,2,9.7547,0.0123,0.13%
2,4,6.6741,0.0193,0.29%
2,8,6.8244,0.0150,0.22%
2,16,7.3603,0.0866,1.18%
4,1,9.77654,0.00932,0.10%
4,2,6.6349,0.0166,0.25%
4,4,6.5423,0.0239,0.37%
4,8,6.7883,0.0207,0.31%
4,16,7.2055,0.0617,0.86%
8,1,6.6063,0.0143,0.22%
8,2,6.4626,0.0200,0.31%
8,4,6.5378,0.0317,0.49%
8,8,6.8267,0.0186,0.27%
8,16,7.4918,0.0667,0.89%
16,1,6.4394,0.0155,0.24%
16,2,6.3932,0.0143,0.22%
16,4,6.4022,0.0227,0.35%
16,8,6.7269,0.0191,0.28%
16,16,7.0073,0.0754,1.08%
