1,1,24.1888,0.0169,0.07%
1,2,13.7342,0.0183,0.13%
1,4,8.0365,0.0264,0.33%
1,8,5.31770,0.00779,0.15%
1,16,132.87,1.65,1.24%
2,1,13.6328,0.0121,0.09%
2,2,7.86145,0.00991,0.13%
2,4,4.9095,0.0196,0.40%
2,8,5.1748,0.0160,0.31%
2,16,133.57,3.17,2.38%
4,1,7.7930,0.0637,0.82%
4,2,4.7622,0.0117,0.25%
4,4,4.7511,0.0272,0.57%
4,8,5.1345,0.0142,0.28%
4,16,140.66,2.82,2.00%
8,1,4.6444,0.0233,0.50%
8,2,4.6134,0.0177,0.38%
8,4,4.6932,0.0294,0.63%
8,8,5.10687,0.00979,0.19%
8,16,142.17,3.07,2.16%
16,1,4.5431,0.0615,1.35%
16,2,4.5763,0.0197,0.43%
16,4,4.6687,0.0265,0.57%
16,8,5.1688,0.0317,0.61%
16,16,152.83,4.55,2.98%
